evaluation,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
random_search,1137.8605839983668,0.6503742417395917,0.00254515837423669,1.255616111552279,0.08355779294698933,1.6125684573481753,0.10347143392139899,0.9115698728267148,0.014402214085313775
random_search,2.872813738564827,0.09753360174945158,2.2949533781044616e-05,3.4611158339633583,0.11183450787527731,4.465829670578989,0.21776309225666726,0.32805713070537135,0.020125152941620615
random_search,111.87343350529036,0.43599490214200376,0.0004099511084931484,1.2185303859231031,0.021082245882321438,1.6347001383032869,0.04965127017657072,0.9095761278882353,0.00867102244450349
random_search,387.42070104049196,0.5507979025745755,0.0010898956521286926,1.1452840080790245,0.043845563346414894,1.5134513703217984,0.055075917504122995,0.9221460506235036,0.011157770763024993
random_search,580.2417748602988,0.5881308010772742,0.001497884034593475,1.193685682888943,0.08704048346114153,1.5526447286315215,0.09855104817519345,0.9177838447391707,0.014722432047139194
random_search,34998.07897501003,0.9670298390136767,0.037758468239207525,1.9778647623061414,0.11784419796342396,2.644053485934155,0.11991847879454622,0.7638770610274946,0.018811068275884534
random_search,1.6941690883726097,0.04872488080912729,1.5143695641476896e-05,3.900644881570409,0.127682567188302,5.008221713622369,0.21041515865188903,0.15475809876428265,0.011487871156413415
random_search,11.044326882678181,0.22199317108973948,6.624392869587325e-05,2.102778790307022,0.1575762754727282,2.7545202704458984,0.24337520723713216,0.7438874269428657,0.033067099992620745
random_search,9.54003157565405,0.20846053735884262,5.903224160133255e-05,2.204222547626122,0.15760824921450417,2.882936222746994,0.24270331339435597,0.7195179455297748,0.0338407578328448
random_search,15686.39221372457,0.8928601514360016,0.020075340412185245,1.5179802989395415,0.05763817612148597,2.002192332786521,0.060894240402854,0.864417954904147,0.011870569896857528
random_search,2.2833388331657147,0.07630828937395717,1.915411424627199e-05,3.680847555892761,0.11824261938778496,4.734895338703342,0.21552805387157692,0.2446039646555112,0.015875522944480244
random_search,269.62939640773584,0.5172978838465893,0.0008193498068251589,1.1339854948351176,0.042711977290317615,1.514429684314958,0.07260806715099631,0.9220195444618486,0.012251906976447628
random_search,12712.136998925595,0.8734294027918162,0.017013323572526367,1.4404147892684,0.05541989595763351,1.8898273802666572,0.05957446306742362,0.8791143209708789,0.011837148835735178
random_search,32440.87144946017,0.9600173033359185,0.03556929101394576,1.9216697580597852,0.11047987706647654,2.568928622042868,0.11343703679946522,0.7770734954413934,0.017982842910990008
random_search,1.1187880989244698,0.010374153885699955,1.0923798587598058e-05,4.090122064818968,0.13157206319681994,5.244054600209634,0.208960972801719,0.07317928259777769,0.009821327959285558
random_search,12265.555390512398,0.8701241366272119,0.016541050266852857,1.4282261204998044,0.0559422169657609,1.8729638339506782,0.060253895519331586,0.8812469707322371,0.011845949885433681
