method,space,seed,eval_index,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
random,narrow,3,11,23818.845837825793,0.630090199785343,5.8397454356322866e-05,1.146173288820505,0.11250562837098933,1.5288395256646152,0.14314323858596262,0.9196264378754782,0.020996613165101527
random,narrow,3,12,25.18021415408262,0.7221648081421175,0.005542882981566781,1.2169286364025502,0.08631256074000213,1.594905870983274,0.1117715466972293,0.9137239141963824,0.012292126100722124
random,narrow,3,13,10.659509464496086,0.6576522108732432,0.011741583067590962,1.3452292156001122,0.08380118301547494,1.771789083002865,0.17484682449249736,0.8943001779456987,0.00983326188400039
random,narrow,3,14,1616.038068245964,0.42857290429846195,0.010800294581359048,1.280147615870548,0.05232585728224145,1.6731251650613281,0.08567711084515237,0.9052143280103628,0.009544836646095668
random,narrow,3,15,3673.958142695959,0.1023199219220744,0.01776118150698423,1.398925334716649,0.0955677822026979,1.8490854544913102,0.16158179377615625,0.8849299549096041,0.007033503455215485
random,narrow,3,16,9840.925145670144,0.47968392351227496,0.00028650050201953095,1.1765105478552849,0.09767107513105154,1.5239469686521816,0.14468152304273177,0.9197861214882315,0.02302171331174731
random,narrow,3,17,4.871040650144779,0.291978615987851,0.0038322876552486194,1.323457997752561,0.13184715639753342,1.7681068581667112,0.2080340162886828,0.8945764189115335,0.015058421857073208
random,narrow,3,18,12401.000770518041,0.5618097187308899,0.00010437621892505372,1.127310083268026,0.11316559115249286,1.5010555504341085,0.13787363389118698,0.9225382926027808,0.02011781326191323
random,narrow,3,19,75.50445813193042,0.19663923977212372,0.0018498385507141446,1.1330718092105212,0.1082551231602929,1.5165056558067476,0.13694987574020195,0.9218040211267542,0.014248976954995964
random,narrow,3,20,7.03340695548658,0.7522234183692774,0.005789141487843407,1.2836006945028307,0.11004173239020337,1.7009722488375172,0.18483662084603675,0.9023535920118615,0.013480759117114088
random,narrow,3,21,461.5428475584084,0.20577504822901882,0.025529722716717836,1.559773544713822,0.14414210164212604,2.1028933789206095,0.24578857367094895,0.8514908920413564,0.014728291117783813
random,narrow,3,22,9962.2826897456,0.9643577208942796,4.217732146162208e-05,1.242996128905944,0.09849330597012466,1.6349316482755634,0.12567505840228127,0.9091420913064743,0.014889422477881796
random,narrow,3,23,852.5373629525077,0.9705587631326238,0.0017572960302866965,1.2175825702372787,0.0512866891204233,1.5478176661525977,0.0886460287682276,0.9177390311408189,0.018635857066686187
random,narrow,3,24,4991.638371268212,0.054093757870965264,0.008353741840820335,1.2631363091784897,0.07851316077984588,1.6464874234833686,0.08115758050475562,0.9082231942179115,0.00872083690193351
random,narrow,3,25,54.358226051639214,0.1935275814655144,2.0607400698123896e-05,1.952192350401214,0.19394196531784916,2.547018933511081,0.31715723345171626,0.7822762733541021,0.025053097341585027
random,narrow,3,26,10.114736518033038,0.1267549797183054,0.014999982471274575,1.3686184827247794,0.12341942680709822,1.8301624198639561,0.2282716895036545,0.8874915371105303,0.013175328003417374
random,narrow,4,0,27001.777389280673,0.9762437057077041,0.0007787270850782464,1.2626115509033669,0.03789049078255457,1.5834621963434767,0.07025094560957874,0.9142619247752369,0.016081990027680276
random,narrow,4,1,2.3979827328756143,0.37648658437727256,0.0017643754428957666,1.5840198276642565,0.14904003033020433,2.067292579835855,0.23614287958092647,0.8564027917880036,0.014573207215078344
random,narrow,4,2,5862.862623447389,0.8716352741876564,4.421535913076629e-05,1.2518866587459208,0.10316144479292444,1.6567167786504329,0.13714886869251422,0.9067273785803012,0.015554444832697122
random,narrow,4,3,359.71978594015013,0.4771535238392063,0.02174034928784022,1.5068922973277998,0.12515222044278013,2.01513740063514,0.218664349427261,0.8635542010192825,0.011830157454756499
random,narrow,4,4,105.41176763817445,0.9841529999311214,0.008284956704294964,1.2914266146415372,0.056111501395496845,1.667504297811983,0.08047107868382518,0.905357253162238,0.014809713494446763
random,narrow,4,5,54.617322947229745,0.9290263877654195,0.03837546225207707,2.02411185433262,0.23291055398537092,2.669516682864576,0.36138504110012887,0.7607301702629367,0.03213283133222011
random,narrow,4,6,6.838677607648154,0.7048647455647425,0.0017869971826283252,1.3673848813738665,0.12587303031654992,1.8099491771786496,0.1910441324838022,0.8895188036314827,0.013909920902851062
random,narrow,4,7,26928.13080235862,0.13339575545169313,0.0028989906758709197,1.2934957769337931,0.05152399689264523,1.6681471531634666,0.050971534037423126,0.9051331622597096,0.014381108252840318
random,narrow,4,8,218.5067778251954,0.5002261893487459,0.0006697071865873019,1.1423137936228016,0.09994458401780243,1.5294311876020668,0.12769350606673477,0.9206710056546971,0.012052406232081985
random,narrow,4,9,31941.06621639619,0.22377114677821597,0.00019697356505226054,1.1917235243328959,0.1245753557199637,1.6389626075709285,0.36504334875292344,0.9014616699185684,0.06228241402276664
random,narrow,4,10,283.96915102227644,0.9391070534240088,0.0023532713927769226,1.204618326238966,0.06718160947305639,1.5440320504794705,0.0996097113612012,0.9180476937045039,0.019711588570526718
random,narrow,4,11,543.0937304809742,0.9297746953080669,9.788309135811103e-05,1.3008283830011698,0.10401987043723698,1.7144045639406655,0.14051907147281018,0.900423636236798,0.013868202272907974
random,narrow,4,12,204.45717827042012,0.4760389104754019,0.0031605824795281835,1.1951713508826538,0.05749938195999447,1.5371738153507735,0.08995671066137916,0.918977445498942,0.01761381126502302
random,narrow,4,13,10.46122723285621,0.7706304830917438,0.003645266125556642,1.2470617948055733,0.10873378797153425,1.6599543613976244,0.16313286437023247,0.9068171180029637,0.013437984110685258
random,narrow,4,14,7.879696013127687,0.3618150599019092,0.0005025919586096943,1.5741378420701098,0.13347614142065664,2.0501533365754026,0.21104496206607945,0.8586448637579199,0.013038412792561934
random,narrow,4,15,6.342409813175735,0.9625074113263784,6.588296716478884e-05,2.368454651577631,0.21208712973789112,3.079952196633701,0.3708696424129701,0.6816802889151112,0.0322236369852039
random,narrow,4,16,14286.886572462396,0.7394732431350439,0.00025946931064303546,1.2112580040532666,0.10268327228804576,1.5485026957404942,0.17048459141281425,0.9163908008458292,0.028400776568197193
random,narrow,4,17,1.5747316193313172,0.5371708512141022,0.024253205110889905,2.0386688116357123,0.2528427970859617,2.747511856178226,0.4456027287053904,0.7467717373002851,0.044713383103570516
random,narrow,4,18,7151.77436547617,0.37612381317906773,0.00010487871020669155,1.13612682205203,0.10472773604911052,1.5357881778907998,0.14171843583742405,0.9189322037772939,0.02081101057959826
random,narrow,4,19,43.19634442628202,0.42945988292273374,0.03953895272432729,1.933186889788735,0.22231248797272543,2.5928823727131114,0.3528198179313714,0.7743444413423715,0.030030028843592155
random,narrow,4,20,222.86465587631935,0.9031955883507381,0.034366664795401014,1.915053708274968,0.21378273347345025,2.5318197321148554,0.34053625952942695,0.7847430998956569,0.028861679328979192
random,narrow,4,21,71.80299160733003,0.8070479361350381,0.00013705905265556923,1.4613193332755867,0.12796962748353113,1.9038987289509965,0.18383441763776068,0.8779708693827848,0.011102082160145374
random,narrow,4,22,3.198937662626308,0.8764338171832751,0.000282289697147126,2.0318177178192545,0.18508722626999016,2.6300809460278036,0.3170157543225427,0.7677783946931225,0.02511292966814384
random,narrow,4,23,20510.402446937685,0.07872015051065484,7.305025133623505e-05,1.135806008549351,0.119999695171434,1.5911772972839027,0.2757205660674758,0.9096725887037287,0.0443164217062625
random,narrow,4,24,5029.303990506842,0.23750481762383724,0.0019949793894284105,1.2942039737564648,0.03937494117661622,1.6585468182325331,0.05230361746213814,0.9060256035759228,0.015655393477857014
random,narrow,4,25,238.32902977033888,0.7000873205228134,1.8372737123909345e-05,1.6168856946285177,0.13352065889828876,2.0976684889630226,0.21800760061141053,0.8521180748675189,0.012632445692623166
random,narrow,4,26,298.58440309683596,0.08816937300957906,0.004040836832846592,1.2534338202501187,0.0480349730098053,1.6122193072877202,0.05717978534960195,0.9113766810986877,0.013802103621355264
random,narrow,5,0,6062.958451345071,0.515325561042142,0.00973977101303782,1.2681901159040638,0.048798543597882466,1.6551906203590654,0.07860673584036736,0.9070870427529993,0.010921687495038126
random,narrow,5,1,22.027850089659438,0.38336888078551823,1.5830260092748248e-05,2.4475140027651885,0.22332817594403775,3.183644819381673,0.38588730426594997,0.6600515364395333,0.03269869837747511
random,narrow,5,2,83.0621828092802,0.04875771072716806,1.4705221962386768e-05,1.9210609495175106,0.1955053894036503,2.501217387836992,0.3164898583742181,0.7900306482146812,0.02528356394294949
random,narrow,5,3,49556.268091096186,0.23451020166982395,0.002588771838247927,1.2749064158430472,0.044655257542413763,1.6433042556720554,0.053655247426750284,0.9078069690805574,0.015155926473586729
random,narrow,5,4,110.61282938565937,0.8976776081085488,0.040131510607208945,2.0589412086885366,0.23881608380890904,2.718491891632267,0.3677297349686014,0.7518938378281476,0.03306594592486137
random,narrow,5,5,9268.646578548105,0.4930230187317426,0.0002828089067350188,1.1717324269559692,0.09751204092757587,1.5209882690808414,0.14212797021792087,0.9201366232017165,0.02266559071937432
