method,space,seed,eval_index,C,epsilon,gamma,mae,std_mae,rmse,std_rmse,r2,std_r2
bayesian,narrow,1,29,27.03884914773499,0.0,0.0028417859637048255,1.1490813505381763,0.03668716742071495,1.5581746872313793,0.0683594554307897,0.9177278189976844,0.010275412000201723
bayesian_llm_init,narrow,1,0,2.0,0.0,2e-05,3.722813062638251,0.12027682441468267,4.786007648148059,0.21227629824930397,0.22817815248042478,0.014036651733384172
bayesian_llm_init,narrow,1,1,10.0,0.05,0.0002,1.7732647518174676,0.10683639504095445,2.310183252387569,0.1836083723569222,0.819896539476076,0.02055600147509145
bayesian_llm_init,narrow,1,2,50.0,0.1,0.001,1.166738381000891,0.029212517119421147,1.5767606557650058,0.05791030619971029,0.9157990250845085,0.009335451577389766
bayesian_llm_init,narrow,1,3,200.0,0.0,0.005,1.2667049463351845,0.06560645983502786,1.6531697566425414,0.054128012050206405,0.9074566433562694,0.009241417237776049
bayesian_llm_init,narrow,1,4,800.0,0.15,0.0005,1.1278153347312472,0.04336653713199473,1.5312794895168949,0.06051198771201177,0.9204762778902855,0.01030690786994209
bayesian_llm_init,narrow,1,5,3000.0,0.05,8e-05,1.1879214453843483,0.04675750489414469,1.6011212943051376,0.09099379885697446,0.913036794658822,0.012358314274850507
bayesian_llm_init,narrow,1,6,15000.0,0.2,0.01,1.2623035926540802,0.0580743320933338,1.6554223658762948,0.037610271350719274,0.9072935643748641,0.007713374064229285
bayesian_llm_init,narrow,1,7,120.0,0.1,0.03,1.634567125851922,0.06521905638405431,2.220135137143483,0.05483461663674238,0.833451902565329,0.011521262305626891
bayesian_llm_init,narrow,1,8,45000.0,0.0,5e-05,1.1442974502300853,0.03862353419479648,1.593386088046092,0.12851388353309223,0.914214834608549,0.010743421183619
bayesian_llm_init,narrow,1,9,600.0,0.3,0.002,1.2286912725233292,0.09670756432792348,1.6044161046649446,0.10359843439675528,0.9122906724497041,0.015093507444268137
bayesian_llm_init,narrow,1,10,50000.0,0.0,0.0003836858272106188,1.4570061537742613,0.11852196208291242,1.9268808426730337,0.16509431334704977,0.8745075438518649,0.017233087944550234
bayesian_llm_init,narrow,1,11,50000.0,1.0,2.0740310488765108e-05,1.220300696221344,0.053195730676733145,1.6192380851561168,0.06376452171438814,0.9111984139078165,0.009920587941981087
bayesian_llm_init,narrow,1,12,50000.0,1.0,0.05,2.2891964362375914,0.15428088700069048,3.048111419682801,0.14380049956538754,0.6864777915360986,0.020831331604072793
bayesian_llm_init,narrow,1,13,50000.0,0.0,1e-05,1.2297684318274005,0.05740164752814299,1.6518843959148874,0.09928325070198551,0.9074567175530224,0.013125893637483094
bayesian_llm_init,narrow,1,14,1627.7549828884971,1.0,0.00020374693875869755,1.1911241397606092,0.039009842440711394,1.5720283861040758,0.0661268742030614,0.9160859905811977,0.011822103050807903
bayesian_llm_init,narrow,1,15,1.0,1.0,0.0040317439484191565,1.7606784776081583,0.09304277333490216,2.308384787952974,0.1514491717426676,0.8204785268793049,0.012043522203809156
bayesian_llm_init,narrow,1,16,15434.355554294923,0.6110089314406539,6.725485949385805e-05,1.1573040694136076,0.05529033158132547,1.5888058844530655,0.12231722202941057,0.9146297919454616,0.011072548159095951
bayesian_llm_init,narrow,1,17,242.93889668094204,0.0,0.0006341937212880972,1.127320703703622,0.0352592304657761,1.5271264722131288,0.06774384975844827,0.9209030927791607,0.01037922966155817
bayesian_llm_init,narrow,1,18,8372.530486869875,0.0,0.004222459074992872,1.338031011657457,0.08530001240920436,1.7231423766201819,0.0889194901037863,0.8995761076455813,0.010476259305245839
bayesian_llm_init,narrow,1,19,207.79027303801234,0.6779922892590811,0.0006025817966642251,1.1633128071553709,0.020112388734768564,1.5585524669212671,0.04806350526960824,0.9176503161275029,0.009809001895564638
bayesian_llm_init,narrow,1,20,1707.3932406178503,0.17778023472220178,0.00021584083742977778,1.1394343251812302,0.043024739159449286,1.551478837723608,0.07619634311534615,0.9185460399384825,0.008992627869502088
bayesian_llm_init,narrow,1,21,50000.0,0.2618160521662339,2.838689485896091e-05,1.1542917292297328,0.0513002524565745,1.563224437878711,0.08653971537059706,0.917267603006007,0.009893837173932198
bayesian_llm_init,narrow,1,22,479.76190414072545,0.26140516372714917,0.0004075628162948849,1.1385016140528375,0.03562968411220721,1.5438995926046115,0.06822858599866378,0.9192156057572711,0.010116964005969878
bayesian_llm_init,narrow,1,23,8433.477088802041,0.0,0.00011260873144710269,1.1360124540007204,0.03641667867125155,1.5689096651299415,0.09007786302749222,0.9168022638669061,0.00858321355109399
bayesian_llm_init,narrow,1,24,1863.6347128361397,1.0,0.0006103959327949039,1.1833523397345593,0.052021712229732585,1.530085511752378,0.06099611036857469,0.9205083155017346,0.010803892416838337
bayesian_llm_init,narrow,1,25,1793.9869266253418,1.0,0.006580519289276436,1.2526520617091794,0.03762450345008918,1.6221006636163786,0.05506387222836119,0.9109422904381372,0.008715030324094642
bayesian_llm_init,narrow,1,26,878.7661617913587,0.0,0.0003781551170275363,1.1277010354611305,0.04261704130474405,1.536512683636729,0.0689959615788668,0.9199877142811725,0.010023344308920946
bayesian_llm_init,narrow,1,27,17083.970094693374,0.0,4.995724686868846e-05,1.162469078842078,0.05025834006289296,1.5714772926617921,0.0754830879824952,0.9164591088053131,0.008680895987442818
bayesian_llm_init,narrow,1,28,50000.0,1.0,7.962943604283361e-05,1.214053654688572,0.05025765540486784,1.6289787688534472,0.15899872313092142,0.9101997141810347,0.014255351604727103
bayesian_llm_init,narrow,1,29,483.6090656378413,0.0,0.0005452565985432548,1.1230468577427462,0.0435448009527182,1.526258533378971,0.06978984543617141,0.9209573036191399,0.010898129124539297
bayesian,narrow,2,0,111.87343350529036,0.5496624778787091,1.247097342755767e-05,1.899541812068992,0.12824544209039587,2.4727992641553356,0.21096945139382184,0.7935966340193991,0.025888723770294806
bayesian,narrow,2,1,111.06235167100911,0.3303348210038741,0.0003588623449925769,1.227274923520502,0.025103327734295487,1.6482767479110916,0.05314690106260796,0.9080416820147063,0.009331140932258711
bayesian,narrow,2,2,9.154566689185758,0.29965467367452314,0.0019528313078509085,1.2756631497899709,0.05782068899809006,1.7116652083383237,0.06434003387718412,0.9010779289956516,0.006594574147930557
bayesian,narrow,2,3,17.939625061788004,0.5291420942770391,0.0019840628076292855,1.2100180079865321,0.04112788246527669,1.6327357382593717,0.056811911538311125,0.9098540837870722,0.008215536085972884
